DatabaseName,ParentSchema,ParentTable,ColumnName,ColumnOrder,DataType,ColumnSize,ConstraintType,ChildSchema,ChildTable,ChildColumn
naseeha,mysqltutorial,auth_group,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
naseeha,mysqltutorial,auth_group,name,2,varchar,150,UNIQUE,NULL,NULL,NULL
naseeha,mysqltutorial,auth_group_permissions,id,1,bigint,NULL,"PRIMARY KEY",NULL,NULL,NULL
naseeha,mysqltutorial,auth_group_permissions,group_id,2,int,NULL,UNIQUE,NULL,NULL,NULL
naseeha,mysqltutorial,auth_group_permissions,group_id,2,int,NULL,"FOREIGN KEY",mysqltutorial,auth_group,id
naseeha,mysqltutorial,auth_group_permissions,permission_id,3,int,NULL,UNIQUE,NULL,NULL,NULL
naseeha,mysqltutorial,auth_group_permissions,permission_id,3,int,NULL,"FOREIGN KEY",mysqltutorial,auth_permission,id
naseeha,mysqltutorial,auth_permission,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
naseeha,mysqltutorial,auth_permission,name,2,varchar,255,NULL,NULL,NULL,NULL
naseeha,mysqltutorial,auth_permission,content_type_id,3,int,NULL,UNIQUE,NULL,NULL,NULL
naseeha,mysqltutorial,auth_permission,content_type_id,3,int,NULL,"FOREIGN KEY",mysqltutorial,django_content_type,id
naseeha,mysqltutorial,auth_permission,codename,4,varchar,100,UNIQUE,NULL,NULL,NULL
naseeha,mysqltutorial,auth_user,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
naseeha,mysqltutorial,auth_user,password,2,varchar,128,NULL,NULL,NULL,NULL
naseeha,mysqltutorial,auth_user,last_login,3,datetime,NULL,NULL,NULL,NULL,NULL
naseeha,mysqltutorial,auth_user,is_superuser,4,tinyint,NULL,NULL,NULL,NULL,NULL
naseeha,mysqltutorial,auth_user,username,5,varchar,150,UNIQUE,NULL,NULL,NULL
naseeha,mysqltutorial,auth_user,first_name,6,varchar,150,NULL,NULL,NULL,NULL
naseeha,mysqltutorial,auth_user,last_name,7,varchar,150,NULL,NULL,NULL,NULL
naseeha,mysqltutorial,auth_user,email,8,varchar,254,NULL,NULL,NULL,NULL
naseeha,mysqltutorial,auth_user,is_staff,9,tinyint,NULL,NULL,NULL,NULL,NULL
naseeha,mysqltutorial,auth_user,is_active,10,tinyint,NULL,NULL,NULL,NULL,NULL
naseeha,mysqltutorial,auth_user,date_joined,11,datetime,NULL,NULL,NULL,NULL,NULL
naseeha,mysqltutorial,auth_user_groups,id,1,bigint,NULL,"PRIMARY KEY",NULL,NULL,NULL
naseeha,mysqltutorial,auth_user_groups,user_id,2,int,NULL,UNIQUE,NULL,NULL,NULL
naseeha,mysqltutorial,auth_user_groups,user_id,2,int,NULL,"FOREIGN KEY",mysqltutorial,auth_user,id
naseeha,mysqltutorial,auth_user_groups,group_id,3,int,NULL,UNIQUE,NULL,NULL,NULL
naseeha,mysqltutorial,auth_user_groups,group_id,3,int,NULL,"FOREIGN KEY",mysqltutorial,auth_group,id
naseeha,mysqltutorial,auth_user_user_permissions,id,1,bigint,NULL,"PRIMARY KEY",NULL,NULL,NULL
naseeha,mysqltutorial,auth_user_user_permissions,user_id,2,int,NULL,UNIQUE,NULL,NULL,NULL
naseeha,mysqltutorial,auth_user_user_permissions,user_id,2,int,NULL,"FOREIGN KEY",mysqltutorial,auth_user,id
naseeha,mysqltutorial,auth_user_user_permissions,permission_id,3,int,NULL,UNIQUE,NULL,NULL,NULL
naseeha,mysqltutorial,auth_user_user_permissions,permission_id,3,int,NULL,"FOREIGN KEY",mysqltutorial,auth_permission,id
naseeha,mysqltutorial,django_admin_log,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
naseeha,mysqltutorial,django_admin_log,action_time,2,datetime,NULL,NULL,NULL,NULL,NULL
naseeha,mysqltutorial,django_admin_log,object_id,3,longtext,4294967295,NULL,NULL,NULL,NULL
naseeha,mysqltutorial,django_admin_log,object_repr,4,varchar,200,NULL,NULL,NULL,NULL
naseeha,mysqltutorial,django_admin_log,action_flag,5,smallint,NULL,NULL,NULL,NULL,NULL
naseeha,mysqltutorial,django_admin_log,change_message,6,longtext,4294967295,NULL,NULL,NULL,NULL
naseeha,mysqltutorial,django_admin_log,content_type_id,7,int,NULL,"FOREIGN KEY",mysqltutorial,django_content_type,id
naseeha,mysqltutorial,django_admin_log,user_id,8,int,NULL,"FOREIGN KEY",mysqltutorial,auth_user,id
naseeha,mysqltutorial,django_content_type,id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
naseeha,mysqltutorial,django_content_type,app_label,2,varchar,100,UNIQUE,NULL,NULL,NULL
